h,Exact,FD,Error
1e-08,2.0609015883751605,2.0609015966011057,8.225945258288903e-09
3.162277660168379e-08,2.0609015883751605,2.060901590216988,1.8418275793408156e-09
1e-07,2.0609015883751605,2.0609015877193215,6.558389387123498e-10
3.162277660168379e-07,2.0609015883751605,2.0609015882860295,8.913092486295682e-11
1e-06,2.0609015883751605,2.0609015883576998,1.7460699552884762e-11
3.162277660168379e-06,2.0609015883751605,2.0609015884001316,2.497113626986902e-11
1e-05,2.0609015883751605,2.0609015886241533,2.489928263571528e-10
3.1622776601683795e-05,2.0609015883751605,2.0609015909191544,2.543993904424724e-09
0.0001,2.0609015883751605,2.0609016137926317,2.5417471238853295e-08
0.00031622776601683794,2.0609015883751605,2.060901842553053,2.541778925113647e-07
0.001,2.0609015883751605,2.0609041301540842,2.5417789237813793e-06
0.0031622776601683794,2.0609015883751605,2.0609270061961134,2.5417820952888803e-05
0.01,2.0609015883751605,2.061155769706929,0.00025418133176868807
0.03162277660168379,2.0609015883751605,2.0634437139353667,0.0025421255602062764
0.1,2.0609015883751605,2.0863540825898994,0.02545249421473894
