name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Avencast: Rise of the Mage,0.6653919694072657,523,6.99,350000.0,56,56,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1
Over My Dead Pixel,1.0,12,3.99,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,-1
Dropzone,0.69625,800,0.0,350000.0,387,393,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,4,-1
RPG Maker MV,0.8785607196401799,2668,60.99,350000.0,331,331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1
Prime World: Defenders 2,0.8315467075038285,653,0.0,150000.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,4,-1
Girls Dance,0.6417910447761194,67,1.69,10000.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
the Line,0.625,32,3.89,10000.0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,-1
7 Wonders of the Ancient World,0.6593406593406593,91,4.99,35000.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Steampunk Tower 2,0.8160919540229885,174,6.99,35000.0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
Lethal Brutal Racing,0.5970588235294118,340,4.79,150000.0,274,325,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,-1
Ping,0.8421052631578947,19,0.79,10000.0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Damned,0.7226651480637813,3512,15.49,350000.0,450,872,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1
Lanternium,1.0,17,6.79,10000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,-1
Lost Lands: Ice Spell,0.9285714285714286,14,5.19,10000.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1
